acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.95,0.9498565691336776,0.9464411557434813,0.9583333333333334,0.9958333333333332,0.1420368393970868,0.0805962380238392,0.963855421686747,1.0,0.9333333333333333,0.875,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [3, 35, 2], [0, 0, 20]]",shallow,1,1,21,0.036820100009208545,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.995,0.11767526466241521,0.050929524814843044,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",raw1d,1,2,27075,21.652926400012802,
0.95,0.9505638394527282,0.9453067257945307,0.9583333333333334,0.9930555555555555,0.17112813375854563,0.07659331397278635,0.9382716049382716,0.95,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[38, 0, 2], [3, 37, 0], [0, 0, 20]]",spec2d,1,2,32227,14.795158699998865,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9925694444444444,0.21936785195721994,0.06772027778547302,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,1,2,99795,59.01615350000793,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9973611111111111,0.11132201924220393,0.04386302435320568,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",spec2d_wide,1,2,97775,22.661989699990954,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9979166666666667,0.07479230916789154,0.03273109696767649,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,1,2,98571,35.41911660000915,
0.96,0.9580361159308527,0.9696969696969697,0.9500000000000001,0.9948611111111111,0.1431405345217862,0.05980982900958914,0.9523809523809523,1.0,0.9743589743589743,0.95,0.9473684210526315,0.9,0.9,"[[40, 0, 0], [2, 38, 0], [2, 0, 18]]",gated,1,2,98698,29.079240799997933,
0.96,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9952777777777778,0.10937561602986025,0.06692817685496849,0.95,0.95,0.95,0.95,1.0,1.0,1.0,"[[38, 2, 0], [2, 38, 0], [0, 0, 20]]",attention,1,2,98544,48.78246029998991,
0.88,0.8740740740740741,0.8714285714285714,0.9,0.9869444444444445,0.503570077960111,0.20358721391954812,0.9,0.9,0.8888888888888888,0.8,0.8333333333333334,1.0,1.0,"[[36, 0, 4], [4, 32, 4], [0, 0, 20]]",early,1,2,97507,34.096611300017685,
0.95,0.9505638394527282,0.9453067257945307,0.9583333333333334,0.9930555555555555,0.17112813375854563,0.07659331397278635,0.9382716049382716,0.95,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[38, 0, 2], [3, 37, 0], [0, 0, 20]]",score,1,2,59302,0.10672779998276383,0.0
0.67,0.716520810543314,0.7164998957681884,0.7166666666666667,0.7916666666666666,0.6440167479856478,0.4316576491806138,0.6172839506172839,0.625,0.5822784810126582,0.575,0.95,0.95,0.95,"[[25, 15, 0], [16, 23, 1], [0, 1, 19]]",logvar,1,2,3,0.0359601000091061,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9964583333333333,0.11925869194367494,0.06518733431556668,0.95,0.95,0.9382716049382716,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [0, 1, 19]]",shallow,1,2,21,0.043997000000672415,
