acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.966645820304357,0.9674185463659147,0.9666666666666667,0.9983333333333334,0.9487179487179487,0.925,0.9512195121951219,0.975,1.0,1.0,1.0,"[[37, 3, 0], [1, 39, 0], [0, 0, 20]]",late,1,0,98571,26.840775399992708,
0.95,0.9537746806039489,0.9538239538239539,0.9583333333333334,0.9997222222222222,0.9523809523809523,1.0,0.9333333333333333,0.875,0.975609756097561,1.0,1.0,"[[40, 0, 0], [4, 35, 1], [0, 0, 20]]",gated,1,0,98698,31.38737970001239,
0.97,0.9749647942419027,0.9767441860465116,0.975,0.9977777777777778,0.963855421686747,1.0,0.961038961038961,0.925,1.0,1.0,1.0,"[[40, 0, 0], [3, 37, 0], [0, 0, 20]]",attention,1,0,98544,36.39919890000601,
0.96,0.9665831244778613,0.9696969696969697,0.9666666666666667,0.9988888888888888,0.9523809523809523,1.0,0.9473684210526315,0.9,1.0,1.0,1.0,"[[40, 0, 0], [4, 36, 0], [0, 0, 20]]",early,1,0,97507,14.415412699992885,
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9997222222222222,0.9873417721518988,0.975,0.9876543209876543,1.0,1.0,1.0,1.0,"[[39, 1, 0], [0, 40, 0], [0, 0, 20]]",score,1,0,59302,0.06908699999621604,0.925
0.64,0.6885789108011329,0.6792113621381914,0.7000000000000001,0.7752083333333334,0.5679012345679012,0.575,0.5454545454545454,0.525,0.9523809523809523,1.0,1.0,"[[23, 16, 1], [18, 21, 1], [0, 0, 20]]",logvar,1,0,3,0.01701159999356605,
0.95,0.9498906079074855,0.9499791536376901,0.9499999999999998,0.997013888888889,0.9629629629629629,0.975,0.9367088607594937,0.925,0.95,0.95,0.95,"[[39, 1, 0], [2, 37, 1], [0, 1, 19]]",shallow,1,0,21,0.017650200010393746,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.998125,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",raw1d,1,1,27075,31.56603120001091,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",spec2d,1,1,32227,10.137311999991653,
0.92,0.9280129582905025,0.934481594056062,0.9333333333333332,0.9993055555555556,0.9195402298850575,1.0,0.8888888888888888,0.8,0.975609756097561,1.0,1.0,"[[40, 0, 0], [7, 32, 1], [0, 0, 20]]",raw1d_wide,1,1,99795,125.69640859999345,
0.95,0.9470905063928319,0.9398550724637681,0.9583333333333334,0.9950694444444445,0.95,0.95,0.961038961038961,0.925,0.9302325581395349,1.0,1.0,"[[38, 0, 2], [2, 37, 1], [0, 0, 20]]",spec2d_wide,1,1,97775,11.736699399989448,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",late,1,1,98571,50.037870999993174,
0.97,0.970752824411361,0.9682539682539683,0.975,0.9978472222222222,0.975609756097561,1.0,0.961038961038961,0.925,0.975609756097561,1.0,1.0,"[[40, 0, 0], [2, 37, 1], [0, 0, 20]]",gated,1,1,98698,29.172233300007065,
0.97,0.9708783575177523,0.9672466422466423,0.975,0.9925,0.975,0.975,0.9620253164556962,0.95,0.975609756097561,1.0,1.0,"[[39, 1, 0], [1, 38, 1], [0, 0, 20]]",attention,1,1,98544,26.3982485000015,
0.94,0.9412269412269412,0.9393939393939394,0.9500000000000001,0.9969444444444445,0.9523809523809523,1.0,0.918918918918919,0.85,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [4, 34, 2], [0, 0, 20]]",early,1,1,97507,14.361693799990462,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0, 0], [0, 40, 0], [0, 0, 20]]",score,1,1,59302,0.045657299997401424,0.05
0.56,0.610132253917338,0.597420084284099,0.6333333333333333,0.7213194444444445,0.5287356321839081,0.575,0.37142857142857144,0.325,0.9302325581395349,1.0,1.0,"[[23, 17, 0], [24, 13, 3], [0, 0, 20]]",logvar,1,1,3,0.01634360000025481,
0.95,0.9498565691336776,0.9464411557434813,0.9583333333333334,0.9958333333333332,0.963855421686747,1.0,0.9333333333333333,0.875,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [3, 35, 2], [0, 0, 20]]",shallow,1,1,21,0.014491399997496046,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9904861111111112,0.9382716049382716,0.95,0.95,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [1, 0, 19]]",raw1d,1,2,27075,23.076656499993987,
0.95,0.9582746570698378,0.9599832390530065,0.9583333333333334,0.9905555555555555,0.9397590361445783,0.975,0.935064935064935,0.9,1.0,1.0,1.0,"[[39, 1, 0], [4, 36, 0], [0, 0, 20]]",spec2d,1,2,32227,8.566632100002607,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9943749999999999,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,1,2,99795,130.4554918000067,
0.97,0.974996093139553,0.9751928288513655,0.975,0.992638888888889,0.9629629629629629,0.975,0.9620253164556962,0.95,1.0,1.0,1.0,"[[39, 1, 0], [2, 38, 0], [0, 0, 20]]",spec2d_wide,1,2,97775,15.27212400001008,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.991736111111111,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",late,1,2,98571,37.804344700009096,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9920138888888888,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",gated,1,2,98698,29.972052299999632,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9874305555555556,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",attention,1,2,98544,36.598863399995025,
0.95,0.9495293110825845,0.9595238095238096,0.9416666666666665,0.9930555555555555,0.9512195121951219,0.975,0.95,0.95,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [2, 38, 0], [1, 1, 18]]",early,1,2,97507,19.50724999999511,
0.95,0.9582746570698378,0.9599832390530065,0.9583333333333334,0.9905555555555555,0.9397590361445783,0.975,0.935064935064935,0.9,1.0,1.0,1.0,"[[39, 1, 0], [4, 36, 0], [0, 0, 20]]",score,1,2,59302,0.04871909999928903,0.0
0.67,0.716520810543314,0.7164998957681884,0.7166666666666667,0.7916666666666666,0.6172839506172839,0.625,0.5822784810126582,0.575,0.95,0.95,0.95,"[[25, 15, 0], [16, 23, 1], [0, 1, 19]]",logvar,1,2,3,0.02202920000127051,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9964583333333333,0.95,0.95,0.9382716049382716,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [0, 1, 19]]",shallow,1,2,21,0.015487800003029406,
