acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.96,0.9550851000599402,0.9483916578296218,0.9666666666666667,0.9993055555555556,0.9876543209876543,1.0,0.9473684210526315,0.9,0.9302325581395349,1.0,1.0,"[[40, 0, 0], [1, 36, 3], [0, 0, 20]]",attention,1,1,98544,55.56750550000288,
0.92,0.9198372601276413,0.9410953506698188,0.9083333333333333,0.9957638888888889,0.9195402298850575,1.0,0.9210526315789473,0.875,0.918918918918919,0.85,0.85,"[[40, 0, 0], [5, 35, 0], [2, 1, 17]]",early,1,1,97507,37.35665909999807,
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9998611111111111,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",score,1,1,59302,0.08677419999730773,0.9500000000000001
0.56,0.610132253917338,0.597420084284099,0.6333333333333333,0.7213194444444445,0.5287356321839081,0.575,0.37142857142857144,0.325,0.9302325581395349,1.0,1.0,"[[23, 17, 0], [24, 13, 3], [0, 0, 20]]",logvar,1,1,3,0.024755200000072364,
0.95,0.9498565691336776,0.9464411557434813,0.9583333333333334,0.9958333333333332,0.963855421686747,1.0,0.9333333333333333,0.875,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [3, 35, 2], [0, 0, 20]]",shallow,1,1,21,0.02539930000057211,
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9933333333333333,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",raw1d,1,2,27075,46.56874180000159,
0.95,0.9505638394527282,0.9453067257945307,0.9583333333333334,0.9933333333333333,0.9382716049382716,0.95,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[38, 0, 2], [3, 37, 0], [0, 0, 20]]",spec2d,1,2,32227,15.694793700000446,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9925,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,1,2,99795,132.66545049999695,
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9979166666666667,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",spec2d_wide,1,2,97775,26.423979999999574,
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9980555555555556,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,1,2,98571,49.6992734000014,
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9948611111111111,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",gated,1,2,98698,46.87386890000198,
0.95,0.954210193099082,0.9589430894308943,0.9499999999999998,0.9952777777777778,0.9382716049382716,0.95,0.95,0.95,0.9743589743589743,0.95,0.95,"[[38, 2, 0], [2, 38, 0], [1, 0, 19]]",attention,1,2,98544,57.492179099994246,
