acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.99,0.9873377651155429,0.991869918699187,0.9833333333333334,1.0,1.0,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [0, 40, 0], [0, 1, 19]]",gated,1,1,budget,small,73673.0,97.25859610000043
0.92,0.9166826547970786,0.9175084175084175,0.9249999999999999,0.9981249999999999,0.9411764705882353,1.0,0.9041095890410958,0.825,0.9047619047619048,0.95,0.95,"[[40, 0, 0], [4, 33, 3], [1, 0, 19]]",attention,1,1,budget,small,73421.0,127.65083810000215
0.96,0.9584530431770482,0.9538239538239538,0.9666666666666667,0.9998611111111111,0.975609756097561,1.0,0.9473684210526315,0.9,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [2, 36, 2], [0, 0, 20]]",score,1,1,budget,small,,0.0
0.58,0.6247944173749981,0.6146850044365572,0.65,0.7295138888888889,0.5617977528089888,0.625,0.38235294117647056,0.325,0.9302325581395349,1.0,1.0,"[[25, 15, 0], [24, 13, 3], [0, 0, 20]]",logvar,1,1,budget,small,3.0,0.0
0.95,0.9498565691336776,0.9464411557434813,0.9583333333333334,0.9972916666666666,0.963855421686747,1.0,0.9333333333333333,0.875,0.9523809523809523,1.0,1.0,"[[40, 0, 0], [3, 35, 2], [0, 0, 20]]",shallow,1,1,budget,small,21.0,0.0
0.96,0.9625346010032642,0.9676434676434676,0.9583333333333334,0.9933333333333333,0.9512195121951219,0.975,0.9620253164556962,0.95,0.9743589743589743,0.95,0.95,"[[39, 1, 0], [2, 38, 0], [1, 0, 19]]",raw1d,1,2,budget,small,27075.0,91.22645349999948
0.95,0.9505638394527282,0.9453067257945307,0.9583333333333334,0.9933333333333333,0.9382716049382716,0.95,0.961038961038961,0.925,0.9523809523809523,1.0,1.0,"[[38, 0, 2], [3, 37, 0], [0, 0, 20]]",spec2d,1,2,budget,small,32227.0,32.1852310999966
0.97,0.9708577901348986,0.9767441860465116,0.9666666666666667,0.9925,0.963855421686747,1.0,0.9743589743589743,0.95,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [2, 38, 0], [1, 0, 19]]",raw1d_wide,1,2,budget,small,99795.0,236.07782710000174
0.96,0.9622778662789798,0.9608711701734958,0.9666666666666667,0.9979166666666667,0.963855421686747,1.0,0.9473684210526315,0.9,0.975609756097561,1.0,1.0,"[[40, 0, 0], [3, 36, 1], [0, 0, 20]]",spec2d_wide,1,2,budget,small,97775.0,56.42124910000712
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9966666666666667,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",late,1,2,budget,small,73611.0,81.54003110001213
