acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,f1_c2,recall_c2,recall_ictal,cm,model,repeat,fold,axis,variant,params,sec
0.96,0.9544005126660954,0.9513519571285939,0.9583333333333334,0.9926388888888887,0.9876543209876543,1.0,0.9487179487179487,0.925,0.926829268292683,0.95,0.95,"[[40, 0, 0], [1, 37, 2], [0, 1, 19]]",raw1d,0,2,stft,coarse,27075.0,68.87749420000182
0.94,0.9334323071313225,0.9337294142172191,0.9333333333333332,0.9960416666666667,0.9620253164556962,0.95,0.9382716049382716,0.95,0.9,0.9,0.9,"[[38, 1, 1], [1, 38, 1], [0, 2, 18]]",spec2d,0,2,stft,coarse,32227.0,24.145622700001695
0.97,0.9619104146881924,0.9659927257167308,0.9583333333333334,0.9904166666666666,0.9876543209876543,1.0,0.975,0.975,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [0, 39, 1], [1, 1, 18]]",raw1d_wide,0,2,stft,coarse,99795.0,232.39468159999524
0.94,0.9371846359798166,0.9426764585883313,0.9333333333333332,0.9977777777777778,0.9487179487179487,0.925,0.9397590361445783,0.975,0.9230769230769231,0.9,0.9,"[[37, 2, 1], [1, 39, 0], [0, 2, 18]]",spec2d_wide,0,2,stft,coarse,97775.0,63.82003690001147
0.97,0.9659927257167308,0.9757936507936508,0.9583333333333334,0.9994444444444444,0.975,0.975,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[39, 1, 0], [0, 40, 0], [1, 1, 18]]",late,0,2,stft,coarse,98571.0,123.06150490000437
0.96,0.96231078158789,0.9679722562219503,0.9583333333333334,0.9986111111111112,0.9487179487179487,0.925,0.963855421686747,1.0,0.9743589743589743,0.95,0.95,"[[37, 3, 0], [0, 40, 0], [1, 0, 19]]",gated,0,2,stft,coarse,98698.0,104.23556860000826
0.94,0.9332239412408189,0.9333124869710235,0.9333333333333332,0.991736111111111,0.9629629629629629,0.975,0.9367088607594937,0.925,0.9,0.9,0.9,"[[39, 1, 0], [1, 37, 2], [1, 1, 18]]",attention,0,2,stft,coarse,98544.0,111.39136439999857
0.94,0.9334323071313225,0.9337294142172191,0.9333333333333332,0.9960416666666667,0.9620253164556962,0.95,0.9382716049382716,0.95,0.9,0.9,0.9,"[[38, 1, 1], [1, 38, 1], [0, 2, 18]]",score,0,2,stft,coarse,,0.0
0.6,0.65,0.65,0.65,0.7361111111111112,0.55,0.55,0.5,0.5,0.9,0.9,0.9,"[[22, 18, 0], [18, 20, 2], [0, 2, 18]]",logvar,0,2,stft,coarse,3.0,0.0
0.95,0.9502659990611798,0.9523255813953488,0.9499999999999998,0.9948611111111111,0.961038961038961,0.925,0.9397590361445783,0.975,0.95,0.95,0.95,"[[37, 3, 0], [0, 39, 1], [0, 1, 19]]",shallow,0,2,stft,coarse,21.0,0.0
0.98,0.9790044317822096,0.9835365853658536,0.975,0.9944444444444445,0.9876543209876543,1.0,0.975,0.975,0.9743589743589743,0.95,0.95,"[[40, 0, 0], [1, 39, 0], [0, 1, 19]]",raw1d,0,3,stft,coarse,27075.0,55.283492600006866
0.92,0.9146278439528581,0.9102829537612146,0.9249999999999999,0.9872916666666667,0.926829268292683,0.95,0.9333333333333333,0.875,0.8837209302325582,0.95,0.95,"[[38, 0, 2], [3, 35, 2], [1, 0, 19]]",spec2d,0,3,stft,coarse,32227.0,25.01391130000411
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9966666666666667,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",raw1d_wide,0,3,stft,coarse,99795.0,216.83176960000128
0.98,0.9833333333333334,0.9833333333333334,0.9833333333333334,0.9987499999999999,0.975,0.975,0.975,0.975,1.0,1.0,1.0,"[[39, 1, 0], [1, 39, 0], [0, 0, 20]]",spec2d_wide,0,3,stft,coarse,97775.0,77.75769939999736
0.97,0.9666562434855118,0.9674603174603175,0.9666666666666667,0.9963194444444444,0.975609756097561,1.0,0.9743589743589743,0.95,0.95,0.95,0.95,"[[40, 0, 0], [1, 38, 1], [1, 0, 19]]",late,0,3,stft,coarse,98571.0,90.11334419999912
0.99,0.991665364379851,0.991869918699187,0.9916666666666667,0.9988888888888888,0.9876543209876543,1.0,0.9873417721518988,0.975,1.0,1.0,1.0,"[[40, 0, 0], [1, 39, 0], [0, 0, 20]]",gated,0,3,stft,coarse,98698.0,98.12745400000131
0.98,0.9833229101521784,0.9841269841269842,0.9833333333333334,0.9987499999999999,0.975609756097561,1.0,0.9743589743589743,0.95,1.0,1.0,1.0,"[[40, 0, 0], [2, 38, 0], [0, 0, 20]]",attention,0,3,stft,coarse,98544.0,112.1965468999988
0.94,0.9344499460032193,0.9307359307359307,0.9416666666666668,0.9914583333333334,0.9512195121951219,0.975,0.9473684210526315,0.9,0.9047619047619048,0.95,0.95,"[[39, 0, 1], [2, 36, 2], [1, 0, 19]]",score,0,3,stft,coarse,,0.0
0.61,0.6578141448942483,0.6446427870075802,0.6749999999999999,0.7265277777777778,0.5432098765432098,0.55,0.5,0.475,0.9302325581395349,1.0,1.0,"[[22, 17, 1], [19, 19, 2], [0, 0, 20]]",logvar,0,3,stft,coarse,3.0,0.0
0.93,0.928182928182928,0.9341350920298289,0.9249999999999999,0.9948611111111111,0.9523809523809523,1.0,0.9090909090909091,0.875,0.9230769230769231,0.9,0.9,"[[40, 0, 0], [4, 35, 1], [0, 2, 18]]",shallow,0,3,stft,coarse,21.0,0.0
