metric,model_a,model_b,n,mean_a,mean_b,mean_diff,p_naive_wilcoxon,p_corrected,p_corrected_conservative,p_sign,delta_min_naive,delta_min_corrected,bayes_p_b_better_r01,bayes_p_equiv_r01,bayes_p_a_better_r01,bayes_p_b_better_r02,bayes_p_equiv_r02,bayes_p_a_better_r02,p_naive_wilcoxon_holm,p_corrected_holm,p_corrected_conservative_holm,p_sign_holm,sig_naive,sig_corrected,bayes_p_b_better_r05,bayes_p_equiv_r05,bayes_p_a_better_r05
f1_macro,shallow,spec2d_wide,24,0.6766459023995033,0.6752531053750657,0.001392797024437652,0.944107174873352,0.9796832422474567,0.9809867114803621,0.8388197422027588,0.06625587861544092,0.09411475390385446,0.4175330719492124,0.14497569252669534,0.43749123552409225,0.3480868212659008,0.28490345749702617,0.3670097212370731,1.0,1.0,1.0,1.0,False,False,,,
f1_macro,spec2d,spec2d_wide,24,0.6949851476554101,0.6752531053750657,0.019732042280344444,0.7257407903671265,0.40468566195190653,0.4350683547522122,1.0,0.04760020338026676,0.059569656658722145,0.10680572515041858,0.23285890630038975,0.6603353685491916,0.050425220945228194,0.4541239487160268,0.49545083033874504,1.0,1.0,1.0,1.0,False,False,,,
log_loss,attention,early,24,0.8486504279155668,1.030978632034558,-0.18232820411899098,0.28966712951660156,0.3252023786243512,0.3565797847541998,0.8388197422027588,0.3997696366733501,0.4931613412220604,,,,0.8099826836709615,0.05195962738172058,0.13805768894731793,1.0,1.0,1.0,1.0,False,False,0.7635091633702925,0.13001270668614595,0.10647812994356153
log_loss,attention,gated,24,0.8486504279155668,0.6546367229582399,0.19401370495732698,0.017870306968688965,0.09588480427673358,0.11780941149914732,0.15158963203430176,0.3279797401306235,0.3855185276077474,,,,0.033984015442504935,0.032538745480495845,0.9334772390769992,0.8220341205596924,1.0,1.0,1.0,False,False,0.019716758539233967,0.08541502499901954,0.8948682164617465
log_loss,attention,late,24,0.8486504279155668,0.9361035466961768,-0.0874531187806098,0.9888126850128174,0.6867993982378856,0.7058669350108328,1.0,0.3442232922292913,0.4545068011904709,,,,0.6221828751330236,0.06750291970337918,0.3103142051635972,1.0,1.0,1.0,1.0,False,False,0.5686473167603832,0.16768021190966825,0.2636724713299486
log_loss,attention,logvar,24,0.8486504279155668,0.6091908031346828,0.23945962478088414,0.03148162364959717,0.08796719118761495,0.10895584658098678,0.30745625495910645,0.4005727908140069,0.4697713470611524,,,,0.032964411995605084,0.02506617261510513,0.9419694153892898,1.0,1.0,1.0,1.0,False,False,0.020976590444359608,0.06500253799487554,0.9140208715607648
log_loss,attention,raw1d,24,0.8486504279155668,0.8045084007032539,0.044142027212312966,0.8774070739746094,0.745571360905003,0.7613519936928149,0.8388197422027588,0.2052905703436468,0.27450432115359996,,,,0.3188579707395464,0.11065627239775555,0.570485756862698,1.0,1.0,1.0,1.0,False,False,0.24534917966812403,0.27184421905179296,0.48280660128008307
log_loss,attention,raw1d_wide,24,0.8486504279155668,0.8692208724639906,-0.020570444548423703,0.7257407903671265,0.8814717649469319,0.8890235147962461,0.5412561893463135,0.1841474988856741,0.25440430206320896,,,,0.5016499619957528,0.11391910991313275,0.3844309280911144,1.0,1.0,1.0,1.0,False,False,0.41556066506728306,0.27947622811906425,0.3049631068136527
log_loss,attention,score,24,0.8486504279155668,0.5010496217774681,0.34760080613809885,0.0004298686981201172,0.01418880722850521,0.020736623104838404,0.022655844688415527,0.5046427605071362,0.5720927199371021,,,,0.005010438158278945,0.004963476180254722,0.9900260856614663,0.022353172302246094,0.7378179758822709,1.0,1.0,True,False,0.002939513204557341,0.013436787179375465,0.9836236996160672
log_loss,attention,shallow,24,0.8486504279155668,0.6204340294424108,0.22821639847315608,0.029131293296813965,0.10324804691933925,0.12598073515978306,0.06391465663909912,0.38947971765029854,0.45874276509352674,,,,0.03894744676716702,0.02868844629179168,0.9323641069410413,1.0,1.0,1.0,1.0,False,False,0.025011701089854305,0.07408600050319392,0.9009022984069518
log_loss,attention,spec2d,24,0.8486504279155668,0.8200949359184252,0.02855549199714152,0.899570107460022,0.8912037947012775,0.8981433696061273,0.8388197422027588,0.27609678486590855,0.38241646375887317,,,,0.40807857638898376,0.07557390365764427,0.5163475199533719,1.0,1.0,1.0,1.0,False,False,0.3535433359988265,0.18736752211731944,0.4590891418838541
log_loss,attention,spec2d_wide,24,0.8486504279155668,0.8606414843870059,-0.011991056471439054,1.0,0.9511519480000662,0.9542827778869509,0.8388197422027588,0.24412294098839638,0.3438242358173999,,,,0.4836809291843184,0.08121547433469462,0.435103596480987,1.0,1.0,1.0,1.0,False,False,0.4230455558410303,0.20109135038776071,0.37586309377120897
log_loss,early,gated,24,1.030978632034558,0.6546367229582399,0.376341909076318,0.0020009279251098633,0.08672988733108619,0.10756557792737104,0.006610751152038574,0.6284986541987256,0.7368006827670353,,,,0.03609979599613516,0.015754777325560188,0.9481454266783047,0.0980454683303833,1.0,1.0,0.35036981105804443,False,False,0.02719653946615223,0.04000197402845773,0.9328014865053901
log_loss,early,late,24,1.030978632034558,0.9361035466961768,0.09487508533838114,0.49079859256744385,0.7197738332928996,0.7370228738781092,0.5412561893463135,0.40806089767366177,0.5425750816121451,,,,0.3321072753943249,0.05637191608875469,0.6115208085169205,1.0,1.0,1.0,1.0,False,False,0.29225866515451143,0.14029414715979605,0.5674471876856926
log_loss,early,logvar,24,1.030978632034558,0.6091908031346828,0.4217878288998751,0.015044927597045898,0.06142566964548777,0.07866764371820364,0.06391465663909912,0.6789460400113393,0.7893962122359579,,,,0.025459240432094972,0.011441589244807315,0.9630991703230977,0.7071115970611572,1.0,1.0,1.0,False,False,0.019077258588547995,0.02913289463202018,0.9517898467794318
log_loss,early,raw1d,24,1.030978632034558,0.8045084007032539,0.22647023133130395,0.15998530387878418,0.2454796035035186,0.27621791055888306,0.5412561893463135,0.45428863037537515,0.5521372711074727,,,,0.1037313428224053,0.04050826098383453,0.8557603961937602,1.0,1.0,1.0,1.0,False,False,0.0795959576731055,0.10174845476002148,0.8186555875668731
log_loss,early,raw1d_wide,24,1.030978632034558,0.8692208724639906,0.16175775957056723,0.47316575050354004,0.43614543294931807,0.46578701829888774,0.5412561893463135,0.4064597976114108,0.5115600086002462,,,,0.19120117406455747,0.055946453736752555,0.75285237219869,1.0,1.0,1.0,1.0,False,False,0.15514026855504684,0.13949341632415502,0.7053663151207982
log_loss,early,score,24,1.030978632034558,0.5010496217774681,0.5299290102570898,3.6597251892089844e-05,0.0072085158550757545,0.011163354650435706,0.001543879508972168,0.7454067373460634,0.8379550248951266,,,,0.0027753403277464956,0.0018915100161260856,0.9953331496561274,0.0020128488540649414,0.3823910700919183,0.5939815148128631,0.08336949348449707,True,False,0.0018660279973355233,0.004967271837279186,0.9931667001653853
log_loss,early,shallow,24,1.030978632034558,0.6204340294424108,0.4105446025921469,0.005897641181945801,0.045877754021513895,0.06035861417656133,0.022655844688415527,0.6437428937735892,0.7439022132530395,,,,0.018527464111324193,0.009743743437997443,0.9717287924506783,0.28308677673339844,1.0,1.0,1.0,False,False,0.013341507063283445,0.024988790969360797,0.9616697019673558
log_loss,early,spec2d,24,1.030978632034558,0.8200949359184252,0.21088369611613247,0.2405325174331665,0.42546360984382064,0.4553762680666722,0.30745625495910645,0.5224931632255359,0.6563303024726167,,,,0.19177897794235987,0.04327485826343391,0.7649461637942062,1.0,1.0,1.0,1.0,False,False,0.16296937526731592,0.10802851790980827,0.7290021068228758
log_loss,early,spec2d_wide,24,1.030978632034558,0.8606414843870059,0.17033714764755192,0.45587432384490967,0.44059691406209023,0.47011988422709033,1.0,0.43056865695587376,0.5423388193673637,,,,0.1948005731815115,0.052938387969107215,0.7522610388493813,1.0,1.0,1.0,1.0,False,False,0.16030245089790413,0.13202143047199644,0.7076761186300995
log_loss,gated,late,24,0.6546367229582399,0.9361035466961768,-0.2814668237379368,0.09509599208831787,0.14034358404148625,0.1663854717441268,0.5412561893463135,0.5024301133347833,0.5973344653514161,,,,0.9153016003036339,0.026944258136513875,0.05775414155985218,1.0,1.0,1.0,1.0,False,False,0.8891231272202755,0.06825957387332991,0.042617298906394555
