acc,f1_macro,precision_macro,recall_macro,auc,log_loss,brier,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,sensitivity,specificity,false_alarms,fa_per_hour_subsampled,model,fold,test_subjects,n_test,n_test_ictal,params,sec,best_epoch,epochs_run,val_f1,blend_w
0.8777777777777778,0.7673872180451128,0.865625,0.7256944444444444,0.9245756172839504,0.5598246940236914,0.2156115882893514,0.9276315789473684,0.9791666666666666,0.6071428571428571,0.4722222222222222,0.4722222222222222,"[[141, 3], [19, 17]]",0.4722222222222222,0.9791666666666666,3,0.0447427293064877,gated,6,chb07,180,36,102921,254.5,12,25,0.7559810917826346,
0.8611111111111112,0.7852131163190301,0.7823662823662824,0.7881944444444444,0.880787037037037,0.4772250890928875,0.2181164711064425,0.9128919860627178,0.9097222222222222,0.6575342465753424,0.6666666666666666,0.6666666666666666,"[[131, 13], [12, 24]]",0.6666666666666666,0.9097222222222222,13,0.1938851603281133,attention,6,chb07,180,36,102767,207.3,7,20,0.7174209383284973,
0.9111111111111112,0.866567828020756,0.8535714285714286,0.8819444444444444,0.945408950617284,0.2514143838942619,0.1498748727927901,0.943661971830986,0.9305555555555556,0.7894736842105263,0.8333333333333334,0.8333333333333334,"[[134, 10], [6, 30]]",0.8333333333333334,0.9305555555555556,10,0.1491424310216256,early,6,chb07,180,36,102547,147.0,5,20,0.6526477666266743,
0.8061855670103093,0.4938044057559069,0.7609085475194262,0.5231958762886598,0.5195557444999469,1.237432478634924,0.3735575067730352,0.8914549653579676,0.9948453608247424,0.0961538461538461,0.0515463917525773,0.0515463917525773,"[[386, 2], [92, 5]]",0.0515463917525773,0.9948453608247424,2,0.0999722299361288,raw1d,7,chb08,485,97,28850,206.7,17,30,0.8209225193342375,
0.8268041237113402,0.6219937648456058,0.7722395907346882,0.6018041237113402,0.8225635030290147,0.395965503522748,0.2329070524130199,0.9002375296912114,0.9768041237113402,0.34375,0.2268041237113402,0.2268041237113402,"[[379, 9], [75, 22]]",0.2268041237113402,0.9768041237113402,9,0.4498750347125798,spec2d,7,chb08,485,97,34546,56.8,2,20,0.64720406681191,
0.8103092783505155,0.5625490196078431,0.7145209862601167,0.5605670103092784,0.6001700499521734,0.687839621329723,0.33828140679816,0.8917647058823529,0.9768041237113402,0.2333333333333333,0.1443298969072164,0.1443298969072164,"[[379, 9], [83, 14]]",0.1443298969072164,0.9768041237113402,9,0.4498750347125798,raw1d_wide,7,chb08,485,97,103712,381.0,2,20,0.8119383452348067,
0.8268041237113402,0.6451714046822743,0.750439463854098,0.6211340206185567,0.7314539270910829,1.2587361859154045,0.3158688873578599,0.8990384615384616,0.963917525773196,0.391304347826087,0.2783505154639175,0.2783505154639175,"[[374, 14], [70, 27]]",0.2783505154639175,0.963917525773196,14,0.6998056095529019,spec2d_wide,7,chb08,485,97,102236,206.7,28,41,0.7157135364261634,
0.8371134020618557,0.6760132249854136,0.7737941962959295,0.6469072164948454,0.7970028695929429,0.7083464164241885,0.2834074687044516,0.9044740024183796,0.963917525773196,0.4475524475524475,0.3298969072164948,0.3298969072164948,"[[374, 14], [65, 32]]",0.3298969072164948,0.963917525773196,14,0.6998056095529019,late,7,chb08,485,97,102768,338.8,21,34,0.8294481914032994,
0.8350515463917526,0.6620680044593088,0.7770819600087893,0.634020618556701,0.8507280263577425,0.4802956613272929,0.2648237785378736,0.903846153846154,0.9690721649484536,0.4202898550724637,0.2989690721649484,0.2989690721649484,"[[376, 12], [68, 29]]",0.2989690721649484,0.9690721649484536,12,0.5998333796167731,gated,7,chb08,485,97,102921,197.5,7,20,0.7784485039396118,
0.8412371134020619,0.6415373244641537,0.8616976705211999,0.6146907216494846,0.8291263683707089,0.5843659898922772,0.278700765309374,0.9090909090909092,0.9922680412371134,0.3739837398373983,0.2371134020618556,0.2371134020618556,"[[385, 3], [74, 23]]",0.2371134020618556,0.9922680412371134,3,0.1499583449041932,attention,7,chb08,485,97,102767,192.6,6,20,0.7963339546330561,
0.8350515463917526,0.6700006804109682,0.7694444444444444,0.6417525773195876,0.8120948028483367,0.4345827779772826,0.2504314784132913,0.9033816425120772,0.963917525773196,0.4366197183098591,0.3195876288659793,0.3195876288659793,"[[374, 14], [66, 31]]",0.3195876288659793,0.963917525773196,14,0.6998056095529019,early,7,chb08,485,97,102547,137.0,7,20,0.7377935596680347,
0.7548387096774194,0.6985053235053236,0.6886860007160759,0.7741935483870968,0.868366285119667,0.6005086815727826,0.3454641536749149,0.8288288288288288,0.7419354838709677,0.5681818181818182,0.8064516129032258,0.8064516129032258,"[[92, 32], [6, 25]]",0.8064516129032258,0.7419354838709677,32,0.4715513712648383,raw1d,8,chb09,155,31,28850,199.6,14,27,0.7310367879929212,
0.8903225806451613,0.8005148005148005,0.8731481481481481,0.7620967741935484,0.855879292403746,0.3561259071405662,0.1741298170365825,0.9343629343629344,0.9758064516129032,0.6666666666666666,0.5483870967741935,0.5483870967741935,"[[121, 3], [14, 17]]",0.5483870967741935,0.9758064516129032,3,0.0442079410560785,spec2d,8,chb09,155,31,34546,61.2,7,20,0.6859208867356967,
0.9032258064516128,0.8540031397174255,0.8428536703937775,0.8669354838709677,0.9266389177939646,0.2941354691285176,0.1772898692027568,0.9387755102040816,0.9274193548387096,0.7692307692307693,0.8064516129032258,0.8064516129032258,"[[115, 9], [6, 25]]",0.8064516129032258,0.9274193548387096,9,0.1326238231682357,raw1d_wide,8,chb09,155,31,103712,407.2,2,20,0.7034188233556098,
0.8258064516129032,0.7581064678342292,0.7384112937210283,0.7943548387096775,0.8038501560874088,0.7267781767534428,0.2927732337953142,0.8860759493670886,0.8467741935483871,0.6301369863013698,0.7419354838709677,0.7419354838709677,"[[105, 19], [8, 23]]",0.7419354838709677,0.8467741935483871,19,0.2799836266884977,spec2d_wide,8,chb09,155,31,102236,147.3,15,28,0.7024488987300659,
0.896774193548387,0.8552754435107377,0.8283055198973043,0.8991935483870968,0.9690426638917794,0.2553350456173036,0.156359392398803,0.9327731092436976,0.8951612903225806,0.7777777777777778,0.9032258064516128,0.9032258064516128,"[[111, 13], [3, 28]]",0.9032258064516128,0.8951612903225806,13,0.1915677445763405,late,8,chb09,155,31,102768,278.8,14,27,0.6830753162837209,
