acc,f1_macro,precision_macro,recall_macro,auc,f1_c0,recall_c0,f1_c1,recall_c1,recall_ictal,cm,model,repeat,fold,params,sec,blend_w
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",gated,1,1,98569,39.422477599997364,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",attention,1,1,98415,52.67773719999968,
0.95,0.9430199430199431,0.9492939666238767,0.9375,0.9924999999999999,0.9629629629629629,0.975,0.9230769230769231,0.9,0.9,"[[39, 1], [2, 18]]",early,1,1,97617,16.198190399998566,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",score,1,1,59044,0.06115439999848604,0.0
0.95,0.9444272923741897,0.9395604395604396,0.95,0.9824999999999999,0.9620253164556962,0.95,0.926829268292683,0.95,0.95,"[[38, 2], [1, 19]]",logvar,1,1,2,0.018167000001994893,
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99875,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",shallow,1,1,14,0.018861199998355005,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",raw1d,1,2,26946,30.207469000000856,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d,1,2,32098,8.362584000002244,
0.9666666666666667,0.9633699633699633,0.9545454545454546,0.975,1.0,0.9743589743589743,0.95,0.9523809523809523,1.0,1.0,"[[38, 2], [0, 20]]",raw1d_wide,1,2,99666,72.9101382000008,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d_wide,1,2,97646,18.02241459999641,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",late,1,2,98416,37.17592650000006,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",gated,1,2,98569,38.236354100001336,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",attention,1,2,98415,38.08046199999808,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,1.0,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",early,1,2,97617,24.308795199998713,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",score,1,2,59044,0.09464809999917634,0.30000000000000004
0.9666666666666667,0.9624999999999999,0.9624999999999999,0.9624999999999999,0.99375,0.975,0.975,0.95,0.95,0.95,"[[39, 1], [1, 19]]",logvar,1,2,2,0.022023600002285093,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",shallow,1,2,14,0.02330719999736175,
0.9333333333333333,0.925,0.925,0.925,0.9912500000000001,0.95,0.95,0.9,0.9,0.9,"[[38, 2], [2, 18]]",raw1d,1,3,26946,22.475645300000906,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,0.99875,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",spec2d,1,3,32098,7.150274200001149,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,0.995,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",raw1d_wide,1,3,99666,61.373762199997145,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",spec2d_wide,1,3,97646,14.841385200001241,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",late,1,3,98416,39.69950249999965,
0.9833333333333333,0.9810066476733144,0.9878048780487805,0.975,1.0,0.9876543209876543,1.0,0.9743589743589743,0.95,0.95,"[[40, 0], [1, 19]]",gated,1,3,98569,38.97209599999769,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",attention,1,3,98415,36.82182450000255,
0.95,0.9413871703028329,0.9651162790697674,0.925,0.97125,0.963855421686747,1.0,0.918918918918919,0.85,0.85,"[[40, 0], [3, 17]]",early,1,3,97617,15.19298350000463,
0.9833333333333333,0.9814757641247298,0.9761904761904762,0.9875,0.99875,0.9873417721518988,0.975,0.975609756097561,1.0,1.0,"[[39, 1], [0, 20]]",score,1,3,59044,0.09149230000184616,0.0
0.9166666666666666,0.9073788206236493,0.9029304029304028,0.9125000000000001,0.9725,0.9367088607594937,0.925,0.8780487804878049,0.9,0.9,"[[37, 3], [2, 18]]",logvar,1,3,2,0.021455499998410232,
0.9333333333333333,0.925,0.925,0.925,0.98125,0.95,0.95,0.9,0.9,0.9,"[[38, 2], [2, 18]]",shallow,1,3,14,0.024984000003314577,
0.9666666666666667,0.9614890885750962,0.9761904761904762,0.95,1.0,0.975609756097561,1.0,0.9473684210526315,0.9,0.9,"[[40, 0], [2, 18]]",raw1d,1,4,26946,23.13693449999846,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d,1,4,32098,7.6804412999990745,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",raw1d_wide,1,4,99666,60.745119400002295,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",spec2d_wide,1,4,97646,16.84050220000063,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",late,1,4,98416,37.634839700003795,
0.95,0.9413871703028329,0.9651162790697674,0.925,1.0,0.963855421686747,1.0,0.918918918918919,0.85,0.85,"[[40, 0], [3, 17]]",gated,1,4,98569,42.14750449999701,
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[[40, 0], [0, 20]]",attention,1,4,98415,50.59770969999954,
